Year,Country,alpha_3,Region,Latitude,Longitude,Jahrestemperatur
1993,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.3
1994,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,13.0
1995,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.2
1996,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.9
1997,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.9
1998,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.5
1999,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.4
2000,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.8
2001,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.5
2002,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.7
2003,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,13.4
2004,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.5
2005,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.4
2006,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,13.0
2007,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,13.5
2008,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.5
2009,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,13.0
2010,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,11.9
2011,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,13.4
2012,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,13.1
2013,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,12.7
2014,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,13.3
2015,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,13.8
2016,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,13.2
2017,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,13.4
2018,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,13.8
2019,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,13.8
1931,Switzerland,CHE,Lugano,46.003601,8.953619999999999,10.9
1932,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.0
1933,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.1
1934,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.7
1935,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.4
1936,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.3
1937,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.6
1938,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.5
1939,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.1
1940,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.0
1941,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.0
1942,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.9
1943,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.7
1944,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.5
1945,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.5
1946,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.7
1947,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.2
1948,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.4
1949,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.7
1950,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.2
1951,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.5
1952,Switzerland,CHE,Lugano,46.003601,8.953619999999999,11.6
1953,Switzerland,CHE,Lugano,46.003601,8.953619999999999,12.0
