Year,Country,alpha_3,Region,Latitude,Longitude,Jahresniederschlag
2019,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,842.2
1931,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1962.0
1932,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2178.2
1933,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1828.5
1934,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2227.3
1935,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2500.8
1936,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1979.0
1937,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2159.0
1938,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1782.8
1939,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2634.9
1940,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1854.4
1941,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2206.9
1942,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1817.4
1943,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1379.8
1944,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1600.1
1945,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1736.4
1946,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1961.8
1947,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1916.4
1948,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1921.8
1949,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1424.1
1950,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1887.9
1951,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2956.6
1952,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1829.5
1953,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1779.6
1954,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1979.4
1955,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1327.1
1956,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2180.1
1957,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2228.9
1958,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2049.1
1959,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1701.2
1960,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,3034.4
1961,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1422.4
1962,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1203.7
1963,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2564.1
1964,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1335.5
1965,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1717.1
1966,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2112.5
1967,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1870.6
1968,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2229.2
1969,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1574.2
1970,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1726.6
1971,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1682.6
1972,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1726.6
1973,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1443.2
1974,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1590.6
1975,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2053.6
1976,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2001.6
1977,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2747.0
1978,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1829.8
1979,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2007.9
1980,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1473.5
1981,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2203.1
1982,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1874.8
1983,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1938.2
1984,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2131.9
1985,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1729.1
1986,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1763.3
1987,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2277.5
1988,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2127.1
1989,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1478.1
1990,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1474.3
1991,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1861.2
1992,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1779.4
1993,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2314.0
1994,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2022.1
1995,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1524.6
1996,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1800.8
1997,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1696.1
1998,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1843.7
1999,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2366.6
2000,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2622.7
2001,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1753.9
2002,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2649.2
2003,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1107.4
2004,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1893.8
2005,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1057.7
2006,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1629.0
2007,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1503.8
2008,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2347.1
2009,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2106.0
2010,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2019.8
2011,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1578.3
2012,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1862.9
2013,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1947.3
2014,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,2781.4
2015,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1344.5
2016,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1619.9
2017,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1685.5
2018,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1465.6
2019,Switzerland,CHE,Locarno-Monti,46.170978999999996,8.79112,1867.9
1931,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1478.5
1932,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1915.5
1933,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1490.5
1934,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1994.0
1935,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1798.7
1936,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1695.8
1937,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1938.0
1938,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1608.1
1939,Switzerland,CHE,Lugano,46.003601,8.953619999999999,2088.4
1940,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1377.2
1941,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1688.6
1942,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1307.9
1943,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1108.9
1944,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1217.2
1945,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1269.2
1946,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1603.2
1947,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1352.9
1948,Switzerland,CHE,Lugano,46.003601,8.953619999999999,1602.4
